IP:PORT, LOSS, DELAY
188.114.96.179:8319,0.00%,185 ms
188.114.96.179:894,0.00%,190 ms
188.114.97.13:894,0.00%,194 ms
188.114.96.65:894,0.00%,194 ms
188.114.98.64:894,0.00%,196 ms
188.114.98.12:8319,0.00%,197 ms
188.114.96.16:894,0.00%,201 ms
188.114.97.44:8319,0.00%,202 ms
188.114.96.57:8319,0.00%,202 ms
188.114.97.180:894,0.00%,203 ms
188.114.97.44:894,0.00%,203 ms
188.114.96.74:894,0.00%,203 ms
188.114.99.103:8319,0.00%,203 ms
188.114.98.12:894,0.00%,203 ms
188.114.98.73:8319,0.00%,204 ms
188.114.96.244:8319,0.00%,204 ms
188.114.99.41:894,0.00%,204 ms
188.114.97.152:894,0.00%,204 ms
188.114.99.90:894,0.00%,204 ms
188.114.96.110:8319,0.00%,204 ms
188.114.96.21:8319,0.00%,204 ms
188.114.97.84:8319,0.00%,205 ms
188.114.98.219:894,0.00%,205 ms
188.114.98.225:894,0.00%,205 ms
188.114.99.41:8319,0.00%,205 ms
188.114.99.161:8319,0.00%,205 ms
188.114.99.179:8319,0.00%,206 ms
188.114.97.157:8319,0.00%,206 ms
188.114.99.90:8319,0.00%,206 ms
188.114.99.63:894,0.00%,207 ms
188.114.98.73:894,0.00%,207 ms
188.114.98.3:894,0.00%,207 ms
188.114.99.92:894,0.00%,208 ms
188.114.97.13:8319,0.00%,208 ms
188.114.99.235:8319,0.00%,208 ms
188.114.97.240:894,0.00%,209 ms
188.114.97.157:894,0.00%,209 ms
188.114.97.119:8319,0.00%,209 ms
188.114.99.92:8319,0.00%,209 ms
188.114.98.87:894,0.00%,209 ms
188.114.97.73:8319,0.00%,209 ms
188.114.97.170:894,0.00%,209 ms
188.114.98.225:8319,0.00%,210 ms
188.114.97.174:8319,0.00%,210 ms
188.114.97.152:8319,0.00%,210 ms
188.114.96.73:894,0.00%,210 ms
188.114.96.124:894,0.00%,211 ms
188.114.96.90:894,0.00%,211 ms
188.114.98.204:894,0.00%,211 ms
188.114.96.182:8319,0.00%,211 ms
188.114.96.198:8319,0.00%,211 ms
188.114.96.198:894,0.00%,211 ms
188.114.96.182:894,0.00%,212 ms
188.114.96.46:894,0.00%,212 ms
188.114.96.45:8319,0.00%,212 ms
188.114.98.3:8319,0.00%,212 ms
188.114.98.60:894,0.00%,213 ms
188.114.96.27:894,0.00%,213 ms
188.114.97.156:894,0.00%,213 ms
188.114.96.197:8319,0.00%,213 ms
188.114.98.64:8319,0.00%,213 ms
188.114.96.56:894,0.00%,213 ms
188.114.97.243:8319,0.00%,213 ms
188.114.97.135:8319,0.00%,213 ms
188.114.99.247:894,0.00%,214 ms
188.114.96.46:8319,0.00%,214 ms
188.114.97.164:8319,0.00%,214 ms
188.114.96.45:894,0.00%,214 ms
188.114.98.44:8319,0.00%,215 ms
188.114.98.43:894,0.00%,215 ms
188.114.97.211:8319,0.00%,215 ms
188.114.99.161:894,0.00%,215 ms
188.114.98.43:8319,0.00%,215 ms
188.114.99.123:894,0.00%,215 ms
188.114.99.103:894,0.00%,215 ms
188.114.96.16:8319,0.00%,215 ms
188.114.97.32:8319,0.00%,216 ms
188.114.98.44:894,0.00%,216 ms
188.114.96.33:894,0.00%,216 ms
188.114.96.73:8319,0.00%,216 ms
188.114.96.60:8319,0.00%,216 ms
188.114.99.235:894,0.00%,216 ms
188.114.98.104:8319,0.00%,216 ms
188.114.96.27:8319,0.00%,216 ms
188.114.99.202:894,0.00%,216 ms
188.114.97.214:8319,0.00%,216 ms
188.114.98.130:894,0.00%,216 ms
188.114.98.130:8319,0.00%,216 ms
188.114.96.244:894,0.00%,217 ms
188.114.99.174:8319,0.00%,217 ms
188.114.99.131:894,0.00%,217 ms
188.114.98.161:8319,0.00%,217 ms
188.114.99.202:8319,0.00%,217 ms
188.114.96.254:894,0.00%,217 ms
188.114.97.156:8319,0.00%,217 ms
188.114.98.76:8319,0.00%,218 ms
188.114.96.197:894,0.00%,218 ms
188.114.99.20:8319,0.00%,218 ms
188.114.98.249:894,0.00%,218 ms
188.114.96.185:8319,0.00%,218 ms
188.114.99.123:8319,0.00%,218 ms
188.114.98.87:8319,0.00%,218 ms
188.114.97.223:8319,0.00%,218 ms
188.114.97.119:894,0.00%,218 ms
188.114.97.46:894,0.00%,218 ms
188.114.97.73:894,0.00%,218 ms
188.114.96.95:8319,0.00%,218 ms
188.114.98.28:8319,0.00%,218 ms
188.114.96.65:8319,0.00%,218 ms
188.114.97.180:8319,0.00%,218 ms
188.114.99.131:8319,0.00%,218 ms
188.114.99.63:8319,0.00%,218 ms
188.114.96.225:8319,0.00%,218 ms
188.114.98.236:8319,0.00%,218 ms
188.114.97.238:894,0.00%,218 ms
188.114.96.225:894,0.00%,219 ms
188.114.98.249:8319,0.00%,219 ms
188.114.98.60:8319,0.00%,219 ms
188.114.98.161:894,0.00%,219 ms
188.114.99.179:894,0.00%,219 ms
188.114.99.55:8319,0.00%,219 ms
188.114.97.238:8319,0.00%,219 ms
188.114.98.84:8319,0.00%,219 ms
188.114.97.135:894,0.00%,220 ms
188.114.99.152:894,0.00%,220 ms
188.114.97.243:894,0.00%,220 ms
188.114.96.90:8319,0.00%,220 ms
188.114.97.133:8319,0.00%,220 ms
188.114.96.254:8319,0.00%,220 ms
188.114.98.115:8319,0.00%,220 ms
188.114.97.199:894,0.00%,220 ms
188.114.96.121:8319,0.00%,220 ms
188.114.98.219:8319,0.00%,220 ms
188.114.99.250:8319,0.00%,221 ms
188.114.97.100:894,0.00%,221 ms
188.114.97.240:8319,0.00%,221 ms
188.114.97.138:8319,0.00%,221 ms
188.114.97.170:8319,0.00%,221 ms
188.114.99.17:894,0.00%,221 ms
188.114.96.56:8319,0.00%,221 ms
188.114.98.221:8319,0.00%,222 ms
188.114.99.247:8319,0.00%,222 ms
188.114.97.133:894,0.00%,222 ms
188.114.97.138:894,0.00%,222 ms
188.114.99.9:894,0.00%,222 ms
188.114.98.221:894,0.00%,222 ms
188.114.98.76:894,0.00%,222 ms
188.114.97.174:894,0.00%,223 ms
188.114.97.164:894,0.00%,223 ms
188.114.97.214:894,0.00%,223 ms
188.114.98.84:894,0.00%,223 ms
188.114.98.254:894,0.00%,224 ms
188.114.99.3:8319,0.00%,224 ms
188.114.99.174:894,0.00%,224 ms
188.114.96.185:894,0.00%,224 ms
188.114.98.104:894,0.00%,224 ms
188.114.99.17:8319,0.00%,224 ms
188.114.99.49:8319,0.00%,224 ms
188.114.96.121:894,0.00%,225 ms
188.114.99.153:894,0.00%,225 ms
188.114.96.57:894,0.00%,225 ms
188.114.99.49:894,0.00%,225 ms
188.114.99.117:8319,0.00%,226 ms
188.114.99.20:894,0.00%,226 ms
188.114.97.199:8319,0.00%,226 ms
188.114.99.250:894,0.00%,226 ms
188.114.96.95:894,0.00%,226 ms
188.114.99.152:8319,0.00%,226 ms
188.114.98.28:894,0.00%,226 ms
